Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,CityVenue,CountryVenue,VenueNeutrality,HomeTeamLabel,AwayTeamLabel
1996-06-26,France,Czech Republic,0.0,0.0,1,54,4,1,10,5
1996-06-23,Czech Republic,Portugal,1.0,0.0,2,10,4,1,5,23
1996-06-23,Germany,Croatia,2.0,1.0,2,54,4,1,11,4
1996-06-22,England,Spain,0.0,0.0,1,49,4,0,8,31
1996-06-22,France,Netherlands,0.0,0.0,1,47,4,1,10,18
1996-06-19,Croatia,Portugal,0.0,3.0,0,63,4,1,4,23
1996-06-19,Italy,Germany,0.0,0.0,1,54,4,1,15,12
1996-06-19,Russia,Czech Republic,3.0,3.0,1,47,4,1,24,5
1996-06-19,Turkey,Denmark,0.0,3.0,0,74,4,1,32,7
1996-06-18,France,Bulgaria,3.0,1.0,2,60,4,1,10,3
1996-06-18,England,Netherlands,4.0,1.0,2,49,4,0,8,18
1996-06-18,Scotland,Switzerland,1.0,0.0,2,10,4,1,25,33
1996-06-18,Romania,Spain,1.0,2.0,0,42,4,1,23,31
1996-06-16,Russia,Germany,0.0,3.0,0,54,4,1,24,12
1996-06-16,Croatia,Denmark,3.0,0.0,2,74,4,1,4,7
1996-06-15,England,Scotland,2.0,0.0,2,49,4,0,8,27
1996-06-15,France,Spain,1.0,1.0,1,42,4,1,10,31
1996-06-14,Portugal,Turkey,1.0,0.0,2,63,4,1,21,34
1996-06-14,Czech Republic,Italy,2.0,1.0,2,47,4,1,5,16
1996-06-13,Bulgaria,Romania,1.0,0.0,2,60,4,1,3,25
1996-06-13,Switzerland,Netherlands,0.0,2.0,0,10,4,1,31,18
1996-06-11,Turkey,Croatia,0.0,1.0,0,63,4,1,32,4
1996-06-11,Italy,Russia,2.0,1.0,2,47,4,1,15,26
1996-06-10,Romania,France,0.0,1.0,0,60,4,1,23,10
1996-06-10,Netherlands,Scotland,0.0,0.0,1,10,4,1,17,27
1996-06-09,Denmark,Portugal,1.0,1.0,1,74,4,1,7,23
1996-06-09,Spain,Bulgaria,1.0,1.0,1,42,4,1,29,3
1996-06-09,Germany,Czech Republic,2.0,0.0,2,54,4,1,11,5
